location,area,price,price_currency,status,new/resale,price_negotiable,description,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Rain Water Harvesting,Car Parking,Vaastu Compliant,Golf Course,Intercom,Indoor Games,Maintenance Staff,Multipurpose Room,ATM,Cafeteria,Staff Quarter,Hospital,School,Shopping Mall
Lohegaon,1780,6500000,INR,0.0,0,0,"A spacious 4 bhk villa is available for sale in Lohegaon, Pune. It has a built-up area of 1780 sqft and is priced at Rs. 65.00 lac . This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",east,0,0,0,0,0,0,0,0,0,0,0,0,8.0,8.03914809828561,185.94480956387795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed wadi,2225,17500000,INR,1.0,0,0,Well designed 6 bhk villa is available at a prime location in Mohammed wadi. It has a built-up area of 2225 sqft and is priced at Rs. 1.75 cr . It is a 5 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. Contact us for more details. ,unknown,1,4,0,0,0,0,0,0,0,0,0,0,8.015749047339035,8.0400404713278,186.29270929935353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lohegaon,1785,6500000,INR,0.0,0,0,"It’s a 4 bhk villa situated in Lohegaon, Pune. It has an area of 1785 sqft with a carpet area of 1086 sqft . The property is available at a price of Rs. 65.00 lac . The house is semi-furnished. Its main door is facing east direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",east,0,0,0,0,0,0,0,0,0,0,0,0,8.0,8.03914809828561,185.94480956387795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valvan Lonavla,1200,15000000,INR,0.0,0,0,"A spacious 3 bhk villa is available for sale in Valvan Lonavla, Pune. It has a built-up area of 1200 sqft and is priced at Rs. 1.50 cr . It is a furnished property. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 sofa, 1 microwave, 1 dining table, 1 ac and 1 bed. Its main door is facing west direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",west,1,2,0,0,0,1,0,0,0,0,0,0,8.015749047339035,8.0400404713278,186.29270929935353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ganeshkhind,4000,35000000,INR,0.0,0,0,"This spacious 4 bhk villa is available for sale and is located in the heart of Ganeshkhind. It has an area of 4000 sqft with a carpet area of 1600 sqft . The property is available at a price of Rs. 3.50 cr . The house is furnished. Furnishings include 1 sofa, 1 washing machine, 1 dining table, 1 ac and 1 bed. It is a 5 year old ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. ",unknown,1,5,0,0,0,1,0,0,0,0,0,0,8.015749047339035,8.0400404713278,186.29270929935353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lohegaon,1950,5700000,INR,0.0,0,0,It is an unfurnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Kindly call us for details. ,unknown,0,3,0,1,1,1,0,0,0,0,0,0,8.0,8.03914809828561,185.94480956387795,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maval,2700,20000000,INR,0.0,0,0,"3 BHK Villa for sale in Maval, Lonavala. This 3 BHK unit is available in Maval and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Maval. The price of this Villa is Rs 2.0 Cr. It is a good, spacious Villa unit with carpet area of 2200 Square feet. The built-up area is 2700 Square feet. There are 3 bedrooms and 3 bathroom. This property is at a walking distance from Railway Hospital Lonavala, Dr Shaikh Clinic, and Dr Kakkars PhysioRehab.. The city's best schools such as High - School, Zilla Parishad Primary School Kambre Pathar, and Zilla Parishad Primary School Karandoli are near your residential property",unknown,1,0,0,0,0,0,0,0,0,0,0,0,5.3,7.886163308554803,126.25761006670585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hadapsar,3150,37500000,INR,1.0,0,0,"6 BHK Villa for sale in Hadapsar, Pune with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Villa is in Hadapsar which is a promising investment destination in Pune. This might be your chance to grab the best 6 BHK property for sale in Hadapsar. This 6 BHK Villa is available at a reasonable price of Rs 3.75 Cr. The built-up area is 3150 Square feet. This property has provision for 6 bathroom. It enjoys a strategic location with many reputed and multispeciality hospitals nearby like NOBLE HOSPITAL HADAPSAR, Smt. Kashibai Navale Medical College and General Hospital, and Nande Hospital. The city's best schools like Sadhana Vidyalay & Junior College, The Lexicon School, and Bantar School are also near this housing project",unknown,1,0,0,0,0,0,0,0,0,0,0,0,9.4,8.118473544812694,216.8937278216709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maval,2700,25000000,INR,1.0,0,0,"A 4 bhk property is available for sale in Tata Realty TATA Housing Prive, Maval, Pune. It has a built-up area of 2700 sqft and is priced at Rs. 2.50 cr . It is a furnished property. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 washing machine, 1 microwave, 1 dining table, 1 ac and 1 bed. Its main door is facing northeast direction. It is a 9 year old ready-to-move-in property. It is situated in the proximity of all the important facilities. ",northeast,1,8,1,1,1,1,1,1,1,1,1,0,5.3,7.6,123.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lonikand,1000,3150000,INR,0.0,0,0,"Well designed 2 bhk villa is available at a prime location in Lonikand. The house is unfurnished. This residential complex is under-construction as of now. . It is made in way to provide a comfortable living. If you are interested, please contact us for more details. ",unknown,0,0,0,0,0,0,0,0,0,0,0,0,6.8,7.971154858405251,159.4171653429126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
